subject,proportion,k,rSquare,adjRSquare,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
multi-thread-context,2%,1,1,1,0.034884,258,9,31,580,12.0155
multi-thread-context,3%,1,1,1,0.034884,258,9,31,580,12.0155
multi-thread-context,4%,1,1,1,0.034884,258,9,31,580,12.0155
multi-thread-context,5%,1,1,1,0.034884,258,9,31,580,12.0155
webbit,1%,0.843415294,0.849631711,0.849556451,0.330933,3750,1241,131,4914,3.4933
webbit,2%,0.899600107,0.890511983,0.890457184,0.330933,3750,1241,131,4914,3.4933
webbit,3%,0.926640063,0.933131094,0.933097626,0.330933,3750,1241,131,4914,3.4933
webbit,4%,0.954992879,0.952592239,0.952568512,0.330933,3750,1241,131,4914,3.4933
webbit,5%,0.963340555,0.966254345,0.966237456,0.330933,3750,1241,131,4914,3.4933
jenkins-ansicolor-plugin,1%,0.511862715,0.517646288,0.517404869,0.413858,534,221,26,500,4.8689
jenkins-ansicolor-plugin,2%,0.682894836,0.61347113,0.613277672,0.413858,534,221,26,500,4.8689
jenkins-ansicolor-plugin,3%,0.729883573,0.735157824,0.73502527,0.413858,534,221,26,500,4.8689
jenkins-ansicolor-plugin,4%,0.712938046,0.717152884,0.717011319,0.413858,534,221,26,500,4.8689
jenkins-ansicolor-plugin,5%,0.752618984,0.800307687,0.800207741,0.413858,534,221,26,500,4.8689
raml-java-parser,1%,0.922171697,0.909039347,0.908993821,0.708968,6044,4285,190,8217,3.1436
raml-java-parser,2%,0.946378129,0.951256211,0.951231815,0.708968,6044,4285,190,8217,3.1436
raml-java-parser,3%,0.974404056,0.973323815,0.973310464,0.708968,6044,4285,190,8217,3.1436
raml-java-parser,4%,0.975425948,0.978476921,0.978466148,0.708968,6044,4285,190,8217,3.1436
raml-java-parser,5%,0.995179371,0.982162326,0.982153398,0.708968,6044,4285,190,8217,3.1436
geohash-java,1%,0.839495424,0.85804685,0.857975802,0.685119,1680,1151,56,920,3.3333
geohash-java,2%,0.902196419,0.908794408,0.908748759,0.685119,1680,1151,56,920,3.3333
geohash-java,3%,0.936452648,0.936455576,0.936423772,0.685119,1680,1151,56,920,3.3333
geohash-java,4%,0.966042022,0.964288034,0.96427016,0.685119,1680,1151,56,920,3.3333
geohash-java,5%,0.95162317,0.957565926,0.957544688,0.685119,1680,1151,56,920,3.3333
compress,1%,0.916528247,0.933586231,0.93355299,0.474887,5734,2723,43,4387,0.7499
compress,2%,0.966184367,0.965696501,0.965679333,0.474887,5734,2723,43,4387,0.7499
compress,3%,0.976445189,0.979348188,0.979337852,0.474887,5734,2723,43,4387,0.7499
compress,4%,0.981284442,0.980277463,0.980267592,0.474887,5734,2723,43,4387,0.7499
compress,5%,0.983594136,0.985888427,0.985881364,0.474887,5734,2723,43,4387,0.7499
spatial4j,1%,0.94377513,0.947484023,0.947457739,0.498435,7666,3821,252,5243,3.2872
spatial4j,2%,0.970865414,0.968649087,0.968633396,0.498435,7666,3821,252,5243,3.2872
spatial4j,3%,0.984040606,0.978918108,0.978907556,0.498435,7666,3821,252,5243,3.2872
spatial4j,4%,0.988391425,0.984902902,0.984895346,0.498435,7666,3821,252,5243,3.2872
spatial4j,5%,0.995268891,0.989147552,0.98914212,0.498435,7666,3821,252,5243,3.2872
glacieruploader,1%,0.597572396,0.594023202,0.59382001,0.305825,824,252,22,987,2.6699
glacieruploader,2%,0.818881506,0.853073045,0.852999508,0.305825,824,252,22,987,2.6699
glacieruploader,3%,0.836939123,0.826310323,0.826223391,0.305825,824,252,22,987,2.6699
glacieruploader,4%,0.834187426,0.853850157,0.853777009,0.305825,824,252,22,987,2.6699
glacieruploader,5%,0.857806349,0.870841228,0.870776584,0.305825,824,252,22,987,2.6699
zt-exec,1%,0.564963252,0.563089853,0.562871179,0.315512,1328,419,71,1670,5.3464
zt-exec,2%,0.701997702,0.714178212,0.714035159,0.315512,1328,419,71,1670,5.3464
zt-exec,3%,0.806158706,0.760883879,0.760764201,0.315512,1328,419,71,1670,5.3464
zt-exec,4%,0.81123291,0.835495034,0.835412699,0.315512,1328,419,71,1670,5.3464
zt-exec,5%,0.86650037,0.878997465,0.878936903,0.315512,1328,419,71,1670,5.3464
rome,1%,0.9379618,0.933808874,0.933775745,0.456866,10734,4904,475,11704,4.4252
rome,2%,0.966991638,0.976766457,0.976754829,0.456866,10734,4904,475,11704,4.4252
rome,3%,0.985956269,0.980388815,0.980379,0.456866,10734,4904,475,11704,4.4252
rome,4%,0.996635599,0.985330376,0.985323034,0.456866,10734,4904,475,11704,4.4252
rome,5%,0.992394374,0.989967948,0.989962927,0.456866,10734,4904,475,11704,4.4252
webprotege,1%,0.958843823,0.95923992,0.95921952,0.091384,61455,5616,1659,77573,2.6995
webprotege,2%,0.977088667,0.982802894,0.982794287,0.091384,61455,5616,1659,77573,2.6995
webprotege,3%,0.988779377,0.986235964,0.986229075,0.091384,61455,5616,1659,77573,2.6995
webprotege,4%,0.995004247,0.991151055,0.991146626,0.091384,61455,5616,1659,77573,2.6995
webprotege,5%,0.994211616,0.992349633,0.992345804,0.091384,61455,5616,1659,77573,2.6995
xsoup,1%,0.839262504,0.821939959,0.82185084,0.529895,2191,1161,27,2031,1.2323
xsoup,2%,0.912244436,0.892468621,0.892414801,0.529895,2191,1161,27,2031,1.2323
xsoup,3%,0.925614881,0.922544351,0.922505584,0.529895,2191,1161,27,2031,1.2323
xsoup,4%,0.955958325,0.943403574,0.943375247,0.529895,2191,1161,27,2031,1.2323
