subject,y,x1,x2,x3,x4,x5,x6,x7,lnx1,lnx2,lnx3,lnx4,lnx5,lnx6,lnx7,neginvx1,neginvx2,neginvx3,neginvx4,neginvx5,neginvx6,neginvx7
kryo-serializers,0.842869887,0.01 ,0.627602,1297,814,154,1564,11.8736,-4.605170186,-0.465849071,7.167809184,6.701960366,5.036952602,7.355001921,2.474317448,-100,-1.593366497,-0.00077101,-0.001228501,-0.006493506,-0.000639386,-0.084220455
kafka-spout,0.633294146,0.01 ,0.820755,424,348,51,477,12.0283,-4.605170186,-0.197530631,6.049733455,5.85220248,3.931825633,6.167516491,2.487262207,-100,-1.218390384,-0.002358491,-0.002873563,-0.019607843,-0.002096436,-0.083137268
computoser,0.878438078,0.01 ,0.049949,14615,730,12,11626,0.0821,-4.605170186,-2.996752794,9.589803678,6.593044534,2.48490665,9.360999248,-2.499817263,-100,-20.02042083,-6.84229E-05,-0.001369863,-0.083333333,-8.60141E-05,-12.18026797
jsemver,0.831881729,0.01 ,0.833623,1725,1438,202,1441,11.7101,-4.605170186,-0.181974017,7.452982329,7.271008538,5.308267697,7.273092596,2.460451717,-100,-1.199583025,-0.00057971,-0.00069541,-0.004950495,-0.000693963,-0.085396367
ashot,0.73484165,0.01 ,0.574189,1294,743,42,1247,3.2457,-4.605170186,-0.554796669,7.165493475,6.610696045,3.737669618,7.128495946,1.177331043,-100,-1.741586829,-0.000772798,-0.001345895,-0.023809524,-0.000801925,-0.308099948
LastCalc,0.904951909,0.01 ,0.391409,6635,2597,34,4594,0.5124,-4.605170186,-0.93800223,8.800113947,7.862112212,3.526360525,8.432506383,-0.668649709,-100,-2.554872269,-0.000150716,-0.00038506,-0.029411765,-0.000217675,-1.951600312
JAdventure,0.803860917,0.01 ,0.144959,5098,739,35,3785,0.6865,-4.605170186,-1.931304335,8.536603585,6.605297921,3.555348061,8.238801166,-0.376149054,-100,-6.898502335,-0.000196155,-0.00135318,-0.028571429,-0.000264201,-1.456664239
invokebinder,0.755964908,0.01 ,0.44779,1561,699,107,1623,6.8546,-4.605170186,-0.803430906,7.353081921,6.549650742,4.672828834,7.392031568,1.92491996,-100,-2.233189665,-0.000640615,-0.001430615,-0.009345794,-0.000616143,-0.145887433
mimecraft,0.701017374,0.01 ,0.784512,297,233,14,394,4.7138,-4.605170186,-0.242693411,5.693732139,5.451038454,2.63905733,5.976350909,1.550494377,-100,-1.274677761,-0.003367003,-0.004291845,-0.071428571,-0.002538071,-0.212143069
pollexor,0.78122502,0.01 ,0.848929,887,753,58,592,6.5389,-4.605170186,-0.163779724,6.787844982,6.624065228,4.060443011,6.383506635,1.877768956,-100,-1.177954811,-0.001127396,-0.001328021,-0.017241379,-0.001689189,-0.152930921
nar-maven-plugin,0.908399854,0.01 ,0.09281,27928,2592,465,23665,1.665,-4.605170186,-2.377200886,10.23738505,7.860185057,6.142037406,10.07175244,0.509825123,-100,-10.774701,-3.58064E-05,-0.000385802,-0.002150538,-4.22565E-05,-0.600600601
xembly,0.796706165,0.01 ,0.38895,2715,1056,57,1202,2.0994,-4.605170186,-0.944304478,7.906547232,6.962243464,4.043051268,7.091742115,0.74165159,-100,-2.571024553,-0.000368324,-0.00094697,-0.01754386,-0.000831947,-0.476326569
dropwizard-guice,0.539669484,0.01 ,0.509934,302,154,15,381,4.9669,-4.605170186,-0.673473973,5.710427017,5.036952602,2.708050201,5.942799375,1.602795903,-100,-1.961038095,-0.003311258,-0.006493506,-0.066666667,-0.002624672,-0.201332823
jackson-datatype-joda,0.768011606,0.01 ,0.556931,1212,675,73,1543,6.0231,-4.605170186,-0.585313925,7.100027167,6.514712691,4.290459441,7.341483852,1.795602077,-100,-1.795554566,-0.000825083,-0.001481481,-0.01369863,-0.000648088,-0.166027461
cassandra-reaper,0.874985077,0.01 ,0.245935,4981,1225,104,5444,2.0879,-4.605170186,-1.402688006,8.513385953,7.110696123,4.644390899,8.602269364,0.736158776,-100,-4.06611503,-0.000200763,-0.000816327,-0.009615385,-0.000183688,-0.478950141
jmeter-maven-plugin,0.699213293,0.01 ,0.264614,2241,593,57,1297,2.5435,-4.605170186,-1.329483119,7.714677474,6.385194399,4.043051268,7.167809184,0.933541085,-100,-3.779089542,-0.000446229,-0.001686341,-0.01754386,-0.00077101,-0.393159033
jPopulator,0.75693026,0.01 ,0.509338,1178,600,70,969,5.9423,-4.605170186,-0.674643436,7.071573364,6.396929655,4.248495242,6.876264612,1.782096264,-100,-1.963332797,-0.000848896,-0.001666667,-0.014285714,-0.001031992,-0.168285007
geocluster-facet,0.709779485,0.01 ,0.488449,606,296,15,553,2.4752,-4.605170186,-0.716520214,6.406879986,5.690359454,2.708050201,6.315358002,0.906321201,-100,-2.047296647,-0.001650165,-0.003378378,-0.066666667,-0.001808318,-0.404007757
wsc,0.961607853,0.01 ,0.094083,17931,1687,16,13016,0.0892,-4.605170186,-2.363577908,9.794286337,7.430707083,2.772588722,9.473934649,-2.416874239,-100,-10.62891277,-5.57693E-05,-0.000592768,-0.0625,-7.68285E-05,-11.21076233
obd-java-api,0.630734105,0.01 ,0.434673,796,346,42,1111,5.2764,-4.605170186,-0.833161255,6.679599186,5.846438775,3.737669618,7.01301579,1.663244047,-100,-2.300579976,-0.001256281,-0.002890173,-0.023809524,-0.00090009,-0.18952316
sonar-objective-c,0.742533912,0.01 ,0.256795,1067,274,31,1441,2.9053,-4.605170186,-1.359477178,6.972606251,5.613128106,3.433987204,7.273092596,1.066536655,-100,-3.894156818,-0.000937207,-0.003649635,-0.032258065,-0.000693963,-0.344198534
spring-retry,0.852601704,0.01 ,0.611063,2296,1403,185,2716,8.0575,-4.605170186,-0.492555215,7.738923757,7.24636808,5.220355825,7.906915489,2.086603335,-100,-1.636492473,-0.00043554,-0.000712758,-0.005405405,-0.000368189,-0.124107974
