subject,y,x1,x2,x3,x4,x5,x6,x7,x8,lnx2,lnx3,lnx4,lnx5,lnx6,lnx7,lnx8,neginvx2,neginvx3,neginvx4,neginvx5,neginvx6,neginvx7,neginvx8
scrypt,0.897195418,0.01,0.837418,1224,1025,22,467,1.7974,11.6335,-0.177431931,7.109879463,6.932447892,3.091042453,6.146329258,0.586341176,2.453888867,-1.19414677,-0.000816993,-0.00097561,-0.045454545,-0.002141328,-0.556359185,-0.085958654
redline-smalltalk,0.990747356,0.01,0.170641,10736,1832,43,5648,0.4005,21.7335,-1.768193345,9.281357859,7.513163545,3.761200116,8.639056779,-0.915041512,3.078854849,-5.860256328,-9.31E-05,-0.000545852,-0.023255814,-0.000177054,-2.496878901,-0.046011917
clj-ds,0.897432608,0.01,0.069744,26626,1857,19,15521,0.0714,10.0865,-2.662923883,10.18964346,7.526717561,2.944438979,9.649949225,-2.63945741,2.311197896,-14.33815095,-3.76E-05,-0.000538503,-0.052631579,-6.44E-05,-14.00560224,-0.099142418
Liqp,0.953038639,0.01,0.454164,17410,7907,234,1876,1.3441,117.7525,-0.789296913,9.764800033,8.975503722,5.455321115,7.53689713,0.295724644,4.768584964,-2.201847791,-5.74E-05,-0.00012647,-0.004273504,-0.000533049,-0.743992262,-0.008492389
la4j,0.969238516,0.01,0.549357,13372,7346,758,9096,5.6686,378.086,-0.599006776,9.500918248,8.901911226,6.630683386,9.115590035,1.734942174,5.935121683,-1.820309926,-7.48E-05,-0.000136129,-0.001319261,-0.000109938,-0.176410401,-0.002644901
wsdoc,0.922442409,0.01,0.639653,2073,1326,47,1598,2.2672,24.085,-0.446829437,7.636752112,7.189922171,3.850147602,7.376508126,0.81854559,3.18158924,-1.563347628,-0.000482393,-0.000754148,-0.021276596,-0.000625782,-0.441072689,-0.041519618
spring-data-commons,0.968643316,0.01,0.613786,13666,8388,1035,14722,7.5735,516.657,-0.488108946,9.522666275,9.034557392,6.942156706,9.597098253,2.024655312,6.247379211,-1.629232338,-7.32E-05,-0.000119218,-0.000966184,-6.79E-05,-0.132039348,-0.00193552
DotCi,0.903265887,0.01,0.220227,9245,2036,221,10038,2.3905,111.2755,-1.513096446,9.131838144,7.618742378,5.398162702,9.21413317,0.871502549,4.712009108,-4.540769297,-0.000108167,-0.000491159,-0.004524887,-9.96E-05,-0.418322527,-0.008986704
apache-httpclient,0.97168734,0.01,0.360584449,5749,2073,869,26604,15.1157,440.474,-1.020029094,8.656781206,7.636752112,6.767343125,10.18881686,2.715733939,6.08785142,-2.77327545,-0.000173943,-0.000482393,-0.001150748,-3.76E-05,-0.06615638,-0.002270282
apache-mina,0.96847692,0.01,0.293984109,7929,2331,197,26869,2.4846,99.379,-1.224229564,8.978282203,7.754052639,5.283203729,10.19872848,0.910111681,4.598940824,-3.401544401,-0.000126119,-0.000429,-0.005076142,-3.72E-05,-0.402479272,-0.010062488
assertj-core,0.970371896,0.01,0.841250606,4126,3471,5737,14128,139.0451,2803.2635,-0.172865678,8.325063694,8.152198016,8.654691705,9.555913923,4.934798341,7.938539553,-1.188706425,-0.000242365,-0.000288101,-0.000174307,-7.08E-05,-0.007191911,-0.000356727
common-collection,0.962807948,0.01,0.36469316,7398,2698,13677,23713,184.8743,6799.71,-1.008698936,8.908964972,7.900266037,9.523470869,10.0737787,5.219676135,8.824635243,-2.742031137,-0.000135172,-0.000370645,-7.31E-05,-4.22E-05,-0.005409081,-0.000147065
common-io,0.965675003,0.01,0.765100671,3129,2394,965,8839,30.8405,486.9305,-0.267747858,8.048468744,7.780720886,6.872128101,9.086929027,3.428828761,6.188121402,-1.307017544,-0.000319591,-0.000417711,-0.001036269,-0.000113135,-0.032424896,-0.002053681
commons-compress,0.981540423,0.01,0.634262845,7746,4913,491,17888,6.3388,245.479,-0.455291828,8.95493186,8.499640032,6.196444128,9.791885376,1.846689476,5.503211404,-1.576633422,-0.000129099,-0.000203542,-0.00203666,-5.59E-05,-0.157758566,-0.004073668
