subject,rSquare,proportion,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
spatial4j,0.989147552,5%,0.498435,7666,3821,252,5243,3.2872
glacieruploader,0.594023202,1%,0.305825,824,252,22,987,2.6699
glacieruploader,0.853073045,2%,0.305825,824,252,22,987,2.6699
glacieruploader,0.826310323,3%,0.305825,824,252,22,987,2.6699
glacieruploader,0.853850157,4%,0.305825,824,252,22,987,2.6699
glacieruploader,0.870841228,5%,0.305825,824,252,22,987,2.6699
zt-exec,0.563089853,1%,0.315512,1328,419,71,1670,5.3464
zt-exec,0.714178212,2%,0.315512,1328,419,71,1670,5.3464
zt-exec,0.760883879,3%,0.315512,1328,419,71,1670,5.3464
zt-exec,0.835495034,4%,0.315512,1328,419,71,1670,5.3464
zt-exec,0.878997465,5%,0.315512,1328,419,71,1670,5.3464
rome,0.933808874,1%,0.456866,10734,4904,475,11704,4.4252
rome,0.976766457,2%,0.456866,10734,4904,475,11704,4.4252
rome,0.980388815,3%,0.456866,10734,4904,475,11704,4.4252
rome,0.985330376,4%,0.456866,10734,4904,475,11704,4.4252
rome,0.989967948,5%,0.456866,10734,4904,475,11704,4.4252
webprotege,0.95923992,1%,0.091384,61455,5616,1659,77573,2.6995
webprotege,0.982802894,2%,0.091384,61455,5616,1659,77573,2.6995
webprotege,0.986235964,3%,0.091384,61455,5616,1659,77573,2.6995
webprotege,0.991151055,4%,0.091384,61455,5616,1659,77573,2.6995
webprotege,0.992349633,5%,0.091384,61455,5616,1659,77573,2.6995
xsoup,0.821939959,1%,0.529895,2191,1161,27,2031,1.2323
xsoup,0.892468621,2%,0.529895,2191,1161,27,2031,1.2323
xsoup,0.922544351,3%,0.529895,2191,1161,27,2031,1.2323
xsoup,0.943403574,4%,0.529895,2191,1161,27,2031,1.2323
xsoup,0.95503511,5%,0.529895,2191,1161,27,2031,1.2323
protoparser,0.916906345,1%,0.720659,4550,3279,166,2115,3.6484
protoparser,0.958463063,2%,0.720659,4550,3279,166,2115,3.6484
protoparser,0.976255549,3%,0.720659,4550,3279,166,2115,3.6484
protoparser,0.981354991,4%,0.720659,4550,3279,166,2115,3.6484
protoparser,0.986829774,5%,0.720659,4550,3279,166,2115,3.6484
jitescript,0.446180975,1%,0.219973,1482,326,14,1397,0.9447
jitescript,0.643190536,2%,0.219973,1482,326,14,1397,0.9447
jitescript,0.618508144,3%,0.219973,1482,326,14,1397,0.9447
jitescript,0.731778539,4%,0.219973,1482,326,14,1397,0.9447
jitescript,0.774551655,5%,0.219973,1482,326,14,1397,0.9447
gelfj,0.676464234,1%,0.34856,1007,351,28,1120,2.7805
gelfj,0.780369772,2%,0.34856,1007,351,28,1120,2.7805
gelfj,0.820930191,3%,0.34856,1007,351,28,1120,2.7805
gelfj,0.856325901,4%,0.34856,1007,351,28,1120,2.7805
gelfj,0.890425717,5%,0.34856,1007,351,28,1120,2.7805
parsii,0.81230863,1%,0.509169,2563,1305,16,1713,0.6243
parsii,0.862934031,2%,0.509169,2563,1305,16,1713,0.6243
parsii,0.947621242,3%,0.509169,2563,1305,16,1713,0.6243
parsii,0.930764482,4%,0.509169,2563,1305,16,1713,0.6243
parsii,0.951878797,5%,0.509169,2563,1305,16,1713,0.6243
low-gc-membuffers,0.861215735,1%,0.512042,3654,1871,51,3183,1.3957
low-gc-membuffers,0.932073863,2%,0.512042,3654,1871,51,3183,1.3957
low-gc-membuffers,0.939028843,3%,0.512042,3654,1871,51,3183,1.3957
low-gc-membuffers,0.965314727,4%,0.512042,3654,1871,51,3183,1.3957
low-gc-membuffers,0.976838086,5%,0.512042,3654,1871,51,3183,1.3957
gdx-artemis,0.825563671,1%,0.570581,1686,962,35,1951,2.0759
gdx-artemis,0.893272963,2%,0.570581,1686,962,35,1951,2.0759
gdx-artemis,0.929186948,3%,0.570581,1686,962,35,1951,2.0759
gdx-artemis,0.951467102,4%,0.570581,1686,962,35,1951,2.0759
gdx-artemis,0.960135292,5%,0.570581,1686,962,35,1951,2.0759
java-jwt,0.588505069,1%,0.787281,456,359,54,422,11.8421
java-jwt,0.729011006,2%,0.787281,456,359,54,422,11.8421
java-jwt,0.782332019,3%,0.787281,456,359,54,422,11.8421
java-jwt,0.833174749,4%,0.787281,456,359,54,422,11.8421
java-jwt,0.852892322,5%,0.787281,456,359,54,422,11.8421
hashids-java,0.566436475,1%,0.631776,535,338,11,258,2.0561
hashids-java,0.676776417,2%,0.631776,535,338,11,258,2.0561
hashids-java,0.674009374,3%,0.631776,535,338,11,258,2.0561
hashids-java,0.758958289,4%,0.631776,535,338,11,258,2.0561
hashids-java,0.779656325,5%,0.631776,535,338,11,258,2.0561
stateless4j,0.590581159,1%,0.561782,696,391,61,864,8.7644
stateless4j,0.750898953,2%,0.561782,696,391,61,864,8.7644
stateless4j,0.841375969,3%,0.561782,696,391,61,864,8.7644
stateless4j,0.898848908,4%,0.561782,696,391,61,864,8.7644
stateless4j,0.8946176,5%,0.561782,696,391,61,864,8.7644
jumblr,0.786521676,1%,0.516047,1184,611,103,1494,8.6993
jumblr,0.877401147,2%,0.516047,1184,611,103,1494,8.6993
jumblr,0.897679495,3%,0.516047,1184,611,103,1494,8.6993
jumblr,0.929998421,4%,0.516047,1184,611,103,1494,8.6993
jumblr,0.936303759,5%,0.516047,1184,611,103,1494,8.6993
kryo-serializers,0.842869887,1%,0.627602,1297,814,154,1564,11.8736
kryo-serializers,0.903474286,2%,0.627602,1297,814,154,1564,11.8736
kryo-serializers,0.925594026,3%,0.627602,1297,814,154,1564,11.8736
kryo-serializers,0.951166059,4%,0.627602,1297,814,154,1564,11.8736
kryo-serializers,0.959241249,5%,0.627602,1297,814,154,1564,11.8736
kafka-spout,0.633294146,1%,0.820755,424,348,51,477,12.0283
kafka-spout,0.768569635,2%,0.820755,424,348,51,477,12.0283
kafka-spout,0.82402911,3%,0.820755,424,348,51,477,12.0283
kafka-spout,0.881949223,4%,0.820755,424,348,51,477,12.0283
kafka-spout,0.912882353,5%,0.820755,424,348,51,477,12.0283
computoser,0.878438078,1%,0.049949,14615,730,12,11626,0.0821
computoser,0.933706923,2%,0.049949,14615,730,12,11626,0.0821
computoser,0.969799907,3%,0.049949,14615,730,12,11626,0.0821
computoser,0.96969217,4%,0.049949,14615,730,12,11626,0.0821
computoser,0.978361602,5%,0.049949,14615,730,12,11626,0.0821
jsemver,0.831881729,1%,0.833623,1725,1438,202,1441,11.7101
jsemver,0.909580753,2%,0.833623,1725,1438,202,1441,11.7101
jsemver,0.920616028,3%,0.833623,1725,1438,202,1441,11.7101
jsemver,0.951897079,4%,0.833623,1725,1438,202,1441,11.7101
jsemver,0.961133983,5%,0.833623,1725,1438,202,1441,11.7101
ashot,0.73484165,1%,0.574189,1294,743,42,1247,3.2457
ashot,0.85297244,2%,0.574189,1294,743,42,1247,3.2457
ashot,0.887628233,3%,0.574189,1294,743,42,1247,3.2457
ashot,0.877181972,4%,0.574189,1294,743,42,1247,3.2457
ashot,0.940472793,5%,0.574189,1294,743,42,1247,3.2457
LastCalc,0.904951909,1%,0.391409,6635,2597,34,4594,0.5124
LastCalc,0.946625729,2%,0.391409,6635,2597,34,4594,0.5124
LastCalc,0.971001797,3%,0.391409,6635,2597,34,4594,0.5124
LastCalc,0.9742736,4%,0.391409,6635,2597,34,4594,0.5124
LastCalc,0.981275052,5%,0.391409,6635,2597,34,4594,0.5124
JAdventure,0.803860917,1%,0.144959,5098,739,35,3785,0.6865
JAdventure,0.862430405,2%,0.144959,5098,739,35,3785,0.6865
JAdventure,0.929453684,3%,0.144959,5098,739,35,3785,0.6865
JAdventure,0.942259983,4%,0.144959,5098,739,35,3785,0.6865
JAdventure,0.945819957,5%,0.144959,5098,739,35,3785,0.6865
invokebinder,0.755964908,1%,0.44779,1561,699,107,1623,6.8546
invokebinder,0.878033138,2%,0.44779,1561,699,107,1623,6.8546
invokebinder,0.903533997,3%,0.44779,1561,699,107,1623,6.8546
invokebinder,0.946720519,4%,0.44779,1561,699,107,1623,6.8546
invokebinder,0.941571003,5%,0.44779,1561,699,107,1623,6.8546
mimecraft,0.701017374,1%,0.784512,297,233,14,394,4.7138
mimecraft,0.800232548,2%,0.784512,297,233,14,394,4.7138
mimecraft,0.871829428,3%,0.784512,297,233,14,394,4.7138
mimecraft,0.853647386,4%,0.784512,297,233,14,394,4.7138
mimecraft,0.910240526,5%,0.784512,297,233,14,394,4.7138
pollexor,0.78122502,1%,0.848929,887,753,58,592,6.5389
pollexor,0.870921289,2%,0.848929,887,753,58,592,6.5389
pollexor,0.909241698,3%,0.848929,887,753,58,592,6.5389
pollexor,0.917219065,4%,0.848929,887,753,58,592,6.5389
pollexor,0.946130213,5%,0.848929,887,753,58,592,6.5389
nar-maven-plugin,0.908399854,1%,0.09281,27928,2592,465,23665,1.665
nar-maven-plugin,0.953822543,2%,0.09281,27928,2592,465,23665,1.665
nar-maven-plugin,0.974930447,3%,0.09281,27928,2592,465,23665,1.665
