subject,kendallCorrelation,proportion,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
statsd-jvm-profiler,0.615828437,0.01 ,0.370258,659,244,33,691,5.0076
statsd-jvm-profiler,0.666745625,0.02 ,0.370258,659,244,33,691,5.0076
statsd-jvm-profiler,0.746408174,0.03 ,0.370258,659,244,33,691,5.0076
statsd-jvm-profiler,0.75589192,0.04 ,0.370258,659,244,33,691,5.0076
statsd-jvm-profiler,0.775341721,0.05 ,0.370258,659,244,33,691,5.0076
scribe-java,0.684484352,0.01 ,0.351901,1867,657,99,2778,5.3026
scribe-java,0.770933246,0.02 ,0.351901,1867,657,99,2778,5.3026
scribe-java,0.815831203,0.03 ,0.351901,1867,657,99,2778,5.3026
scribe-java,0.819557458,0.04 ,0.351901,1867,657,99,2778,5.3026
scribe-java,0.837782931,0.05 ,0.351901,1867,657,99,2778,5.3026
expiringmap,0.760728149,0.01 ,0.560819,781,438,26,802,3.3291
expiringmap,0.787641627,0.02 ,0.560819,781,438,26,802,3.3291
expiringmap,0.789781561,0.03 ,0.560819,781,438,26,802,3.3291
expiringmap,0.836218809,0.04 ,0.560819,781,438,26,802,3.3291
expiringmap,0.846138841,0.05 ,0.560819,781,438,26,802,3.3291
multi-thread-context,1,0.01 ,0.034884,258,9,31,580,12.0155
multi-thread-context,1,0.02 ,0.034884,258,9,31,580,12.0155
multi-thread-context,1,0.03 ,0.034884,258,9,31,580,12.0155
multi-thread-context,1,0.04 ,0.034884,258,9,31,580,12.0155
multi-thread-context,1,0.05 ,0.034884,258,9,31,580,12.0155
webbit,0.74966912,0.01 ,0.330933,3750,1241,131,4914,3.4933
webbit,0.777746307,0.02 ,0.330933,3750,1241,131,4914,3.4933
webbit,0.819094294,0.03 ,0.330933,3750,1241,131,4914,3.4933
webbit,0.858654786,0.04 ,0.330933,3750,1241,131,4914,3.4933
webbit,0.872985814,0.05 ,0.330933,3750,1241,131,4914,3.4933
jenkins-ansicolor-plugin,0.560830191,0.01 ,0.413858,534,221,26,500,4.8689
jenkins-ansicolor-plugin,0.601803245,0.02 ,0.413858,534,221,26,500,4.8689
jenkins-ansicolor-plugin,0.685863121,0.03 ,0.413858,534,221,26,500,4.8689
jenkins-ansicolor-plugin,0.678426324,0.04 ,0.413858,534,221,26,500,4.8689
jenkins-ansicolor-plugin,0.744940087,0.05 ,0.413858,534,221,26,500,4.8689
raml-java-parser,0.800373255,0.01 ,0.708968,6044,4285,190,8217,3.1436
raml-java-parser,0.849968908,0.02 ,0.708968,6044,4285,190,8217,3.1436
raml-java-parser,0.883765564,0.03 ,0.708968,6044,4285,190,8217,3.1436
raml-java-parser,0.893212424,0.04 ,0.708968,6044,4285,190,8217,3.1436
raml-java-parser,0.906810055,0.05 ,0.708968,6044,4285,190,8217,3.1436
geohash-java,0.772565396,0.01 ,0.685119,1680,1151,56,920,3.3333
geohash-java,0.829035356,0.02 ,0.685119,1680,1151,56,920,3.3333
geohash-java,0.845581367,0.03 ,0.685119,1680,1151,56,920,3.3333
geohash-java,0.883314155,0.04 ,0.685119,1680,1151,56,920,3.3333
geohash-java,0.873784771,0.05 ,0.685119,1680,1151,56,920,3.3333
compress,0.837852425,0.01 ,0.474887,5734,2723,43,4387,0.7499
compress,0.88589687,0.02 ,0.474887,5734,2723,43,4387,0.7499
compress,0.906764387,0.03 ,0.474887,5734,2723,43,4387,0.7499
compress,0.907736173,0.04 ,0.474887,5734,2723,43,4387,0.7499
compress,0.924054992,0.05 ,0.474887,5734,2723,43,4387,0.7499
spatial4j,0.852318386,0.01 ,0.498435,7666,3821,252,5243,3.2872
spatial4j,0.885580998,0.02 ,0.498435,7666,3821,252,5243,3.2872
spatial4j,0.903507581,0.03 ,0.498435,7666,3821,252,5243,3.2872
spatial4j,0.919463301,0.04 ,0.498435,7666,3821,252,5243,3.2872
spatial4j,0.930807946,0.05 ,0.498435,7666,3821,252,5243,3.2872
glacieruploader,0.628469068,0.01 ,0.305825,824,252,22,987,2.6699
glacieruploader,0.774483784,0.02 ,0.305825,824,252,22,987,2.6699
glacieruploader,0.760712755,0.03 ,0.305825,824,252,22,987,2.6699
glacieruploader,0.786212774,0.04 ,0.305825,824,252,22,987,2.6699
glacieruploader,0.789415904,0.05 ,0.305825,824,252,22,987,2.6699
zt-exec,0.566502359,0.01 ,0.315512,1328,419,71,1670,5.3464
zt-exec,0.663116509,0.02 ,0.315512,1328,419,71,1670,5.3464
zt-exec,0.696088489,0.03 ,0.315512,1328,419,71,1670,5.3464
zt-exec,0.766104158,0.04 ,0.315512,1328,419,71,1670,5.3464
zt-exec,0.779924711,0.05 ,0.315512,1328,419,71,1670,5.3464
rome,0.832972466,0.01 ,0.456866,10734,4904,475,11704,4.4252
rome,0.900941043,0.02 ,0.456866,10734,4904,475,11704,4.4252
rome,0.912322336,0.03 ,0.456866,10734,4904,475,11704,4.4252
rome,0.92254357,0.04 ,0.456866,10734,4904,475,11704,4.4252
rome,0.93522066,0.05 ,0.456866,10734,4904,475,11704,4.4252
webprotege,0.87779806,0.01 ,0.091384,61455,5616,1659,77573,2.6995
webprotege,0.920350199,0.02 ,0.091384,61455,5616,1659,77573,2.6995
webprotege,0.926888011,0.03 ,0.091384,61455,5616,1659,77573,2.6995
webprotege,0.942664784,0.04 ,0.091384,61455,5616,1659,77573,2.6995
webprotege,0.945512164,0.05 ,0.091384,61455,5616,1659,77573,2.6995
xsoup,0.739689504,0.01 ,0.529895,2191,1161,27,2031,1.2323
xsoup,0.798986737,0.02 ,0.529895,2191,1161,27,2031,1.2323
xsoup,0.826651449,0.03 ,0.529895,2191,1161,27,2031,1.2323
xsoup,0.850650089,0.04 ,0.529895,2191,1161,27,2031,1.2323
xsoup,0.863496314,0.05 ,0.529895,2191,1161,27,2031,1.2323
protoparser,0.817297455,0.01 ,0.720659,4550,3279,166,2115,3.6484
protoparser,0.863613003,0.02 ,0.720659,4550,3279,166,2115,3.6484
protoparser,0.898859412,0.03 ,0.720659,4550,3279,166,2115,3.6484
protoparser,0.909120108,0.04 ,0.720659,4550,3279,166,2115,3.6484
protoparser,0.921525477,0.05 ,0.720659,4550,3279,166,2115,3.6484
jitescript,0.539308,0.01 ,0.219973,1482,326,14,1397,0.9447
jitescript,0.652823522,0.02 ,0.219973,1482,326,14,1397,0.9447
jitescript,0.64098481,0.03 ,0.219973,1482,326,14,1397,0.9447
jitescript,0.713638144,0.04 ,0.219973,1482,326,14,1397,0.9447
jitescript,0.750477644,0.05 ,0.219973,1482,326,14,1397,0.9447
gelfj,0.668061966,0.01 ,0.34856,1007,351,28,1120,2.7805
gelfj,0.727655921,0.02 ,0.34856,1007,351,28,1120,2.7805
gelfj,0.756472957,0.03 ,0.34856,1007,351,28,1120,2.7805
gelfj,0.777406547,0.04 ,0.34856,1007,351,28,1120,2.7805
gelfj,0.808296139,0.05 ,0.34856,1007,351,28,1120,2.7805
parsii,0.75556937,0.01 ,0.509169,2563,1305,16,1713,0.6243
parsii,0.802447236,0.02 ,0.509169,2563,1305,16,1713,0.6243
parsii,0.875332361,0.03 ,0.509169,2563,1305,16,1713,0.6243
parsii,0.859007617,0.04 ,0.509169,2563,1305,16,1713,0.6243
parsii,0.884243895,0.05 ,0.509169,2563,1305,16,1713,0.6243
low-gc-membuffers,0.761142359,0.01 ,0.512042,3654,1871,51,3183,1.3957
low-gc-membuffers,0.833019302,0.02 ,0.512042,3654,1871,51,3183,1.3957
low-gc-membuffers,0.844955478,0.03 ,0.512042,3654,1871,51,3183,1.3957
low-gc-membuffers,0.88411877,0.04 ,0.512042,3654,1871,51,3183,1.3957
low-gc-membuffers,0.900507209,0.05 ,0.512042,3654,1871,51,3183,1.3957
gdx-artemis,0.765933609,0.01 ,0.570581,1686,962,35,1951,2.0759
gdx-artemis,0.807138167,0.02 ,0.570581,1686,962,35,1951,2.0759
gdx-artemis,0.845436414,0.03 ,0.570581,1686,962,35,1951,2.0759
gdx-artemis,0.871749336,0.04 ,0.570581,1686,962,35,1951,2.0759
gdx-artemis,0.88448613,0.05 ,0.570581,1686,962,35,1951,2.0759
java-jwt,0.577519289,0.01 ,0.787281,456,359,54,422,11.8421
java-jwt,0.672779925,0.02 ,0.787281,456,359,54,422,11.8421
java-jwt,0.706489805,0.03 ,0.787281,456,359,54,422,11.8421
java-jwt,0.725557395,0.04 ,0.787281,456,359,54,422,11.8421
java-jwt,0.745050865,0.05 ,0.787281,456,359,54,422,11.8421
hashids-java,0.604634091,0.01 ,0.631776,535,338,11,258,2.0561
hashids-java,0.622150093,0.02 ,0.631776,535,338,11,258,2.0561
hashids-java,0.666360378,0.03 ,0.631776,535,338,11,258,2.0561
hashids-java,0.684106422,0.04 ,0.631776,535,338,11,258,2.0561
hashids-java,0.687403275,0.05 ,0.631776,535,338,11,258,2.0561
stateless4j,0.607587408,0.01 ,0.561782,696,391,61,864,8.7644
stateless4j,0.687213156,0.02 ,0.561782,696,391,61,864,8.7644
stateless4j,0.760085677,0.03 ,0.561782,696,391,61,864,8.7644
stateless4j,0.782828217,0.04 ,0.561782,696,391,61,864,8.7644
stateless4j,0.792005828,0.05 ,0.561782,696,391,61,864,8.7644
jumblr,0.735693679,0.01 ,0.516047,1184,611,103,1494,8.6993
jumblr,0.798967594,0.02 ,0.516047,1184,611,103,1494,8.6993
jumblr,0.815811375,0.03 ,0.516047,1184,611,103,1494,8.6993
jumblr,0.848921565,0.04 ,0.516047,1184,611,103,1494,8.6993
jumblr,0.853754425,0.05 ,0.516047,1184,611,103,1494,8.6993
kryo-serializers,0.77663161,0.01 ,0.627602,1297,814,154,1564,11.8736
kryo-serializers,0.821589006,0.02 ,0.627602,1297,814,154,1564,11.8736
kryo-serializers,0.844096176,0.03 ,0.627602,1297,814,154,1564,11.8736
kryo-serializers,0.872969921,0.04 ,0.627602,1297,814,154,1564,11.8736
kryo-serializers,0.883774751,0.05 ,0.627602,1297,814,154,1564,11.8736
kafka-spout,0.634481379,0.01 ,0.820755,424,348,51,477,12.0283
kafka-spout,0.722223442,0.02 ,0.820755,424,348,51,477,12.0283
kafka-spout,0.758046825,0.03 ,0.820755,424,348,51,477,12.0283
kafka-spout,0.801990783,0.04 ,0.820755,424,348,51,477,12.0283
kafka-spout,0.826224358,0.05 ,0.820755,424,348,51,477,12.0283
computoser,0.778515416,0.01 ,0.049949,14615,730,12,11626,0.0821
computoser,0.823189473,0.02 ,0.049949,14615,730,12,11626,0.0821
computoser,0.855857937,0.03 ,0.049949,14615,730,12,11626,0.0821
computoser,0.857828176,0.04 ,0.049949,14615,730,12,11626,0.0821
computoser,0.881053519,0.05 ,0.049949,14615,730,12,11626,0.0821
jsemver,0.711709576,0.01 ,0.833623,1725,1438,202,1441,11.7101
jsemver,0.792778969,0.02 ,0.833623,1725,1438,202,1441,11.7101
jsemver,0.829017869,0.03 ,0.833623,1725,1438,202,1441,11.7101
jsemver,0.852361958,0.04 ,0.833623,1725,1438,202,1441,11.7101
jsemver,0.875637518,0.05 ,0.833623,1725,1438,202,1441,11.7101
ashot,0.688333927,0.01 ,0.574189,1294,743,42,1247,3.2457
ashot,0.774645523,0.02 ,0.574189,1294,743,42,1247,3.2457
ashot,0.793699382,0.03 ,0.574189,1294,743,42,1247,3.2457
ashot,0.799652227,0.04 ,0.574189,1294,743,42,1247,3.2457
ashot,0.851909664,0.05 ,0.574189,1294,743,42,1247,3.2457
LastCalc,0.814553793,0.01 ,0.391409,6635,2597,34,4594,0.5124
LastCalc,0.862656628,0.02 ,0.391409,6635,2597,34,4594,0.5124
LastCalc,0.895947203,0.03 ,0.391409,6635,2597,34,4594,0.5124
LastCalc,0.901577711,0.04 ,0.391409,6635,2597,34,4594,0.5124
LastCalc,0.915834787,0.05 ,0.391409,6635,2597,34,4594,0.5124
JAdventure,0.744631498,0.01 ,0.144959,5098,739,35,3785,0.6865
JAdventure,0.790697375,0.02 ,0.144959,5098,739,35,3785,0.6865
JAdventure,0.848383893,0.03 ,0.144959,5098,739,35,3785,0.6865
JAdventure,0.863915994,0.04 ,0.144959,5098,739,35,3785,0.6865
JAdventure,0.866741746,0.05 ,0.144959,5098,739,35,3785,0.6865
invokebinder,0.716086658,0.01 ,0.44779,1561,699,107,1623,6.8546
invokebinder,0.798813713,0.02 ,0.44779,1561,699,107,1623,6.8546
invokebinder,0.819212077,0.03 ,0.44779,1561,699,107,1623,6.8546
invokebinder,0.866645665,0.04 ,0.44779,1561,699,107,1623,6.8546
invokebinder,0.85920317,0.05 ,0.44779,1561,699,107,1623,6.8546
mimecraft,0.663189926,0.01 ,0.784512,297,233,14,394,4.7138
mimecraft,0.717245779,0.02 ,0.784512,297,233,14,394,4.7138
mimecraft,0.772178718,0.03 ,0.784512,297,233,14,394,4.7138
mimecraft,0.767845921,0.04 ,0.784512,297,233,14,394,4.7138
mimecraft,0.812995638,0.05 ,0.784512,297,233,14,394,4.7138
pollexor,0.702257865,0.01 ,0.848929,887,753,58,592,6.5389
pollexor,0.777941801,0.02 ,0.848929,887,753,58,592,6.5389
pollexor,0.806357286,0.03 ,0.848929,887,753,58,592,6.5389
pollexor,0.816047075,0.04 ,0.848929,887,753,58,592,6.5389
pollexor,0.854917447,0.05 ,0.848929,887,753,58,592,6.5389
nar-maven-plugin,0.801376584,0.01 ,0.09281,27928,2592,465,23665,1.665
nar-maven-plugin,0.844827857,0.02 ,0.09281,27928,2592,465,23665,1.665
nar-maven-plugin,0.885971937,0.03 ,0.09281,27928,2592,465,23665,1.665
nar-maven-plugin,0.903474618,0.04 ,0.09281,27928,2592,465,23665,1.665
nar-maven-plugin,0.89842287,0.05 ,0.09281,27928,2592,465,23665,1.665
xembly,0.721944273,0.01 ,0.38895,2715,1056,57,1202,2.0994
xembly,0.804809761,0.02 ,0.38895,2715,1056,57,1202,2.0994
xembly,0.843475896,0.03 ,0.38895,2715,1056,57,1202,2.0994
xembly,0.868981454,0.04 ,0.38895,2715,1056,57,1202,2.0994
xembly,0.865908417,0.05 ,0.38895,2715,1056,57,1202,2.0994
dropwizard-guice,0.568847623,0.01 ,0.509934,302,154,15,381,4.9669
dropwizard-guice,0.673127719,0.02 ,0.509934,302,154,15,381,4.9669
dropwizard-guice,0.657254998,0.03 ,0.509934,302,154,15,381,4.9669
dropwizard-guice,0.742963581,0.04 ,0.509934,302,154,15,381,4.9669
dropwizard-guice,0.740027041,0.05 ,0.509934,302,154,15,381,4.9669
jackson-datatype-joda,0.711373583,0.01 ,0.556931,1212,675,73,1543,6.0231
jackson-datatype-joda,0.796545761,0.02 ,0.556931,1212,675,73,1543,6.0231
jackson-datatype-joda,0.837959511,0.03 ,0.556931,1212,675,73,1543,6.0231
jackson-datatype-joda,0.850474482,0.04 ,0.556931,1212,675,73,1543,6.0231
jackson-datatype-joda,0.858806702,0.05 ,0.556931,1212,675,73,1543,6.0231
cassandra-reaper,0.778537776,0.01 ,0.245935,4981,1225,104,5444,2.0879
cassandra-reaper,0.842596761,0.02 ,0.245935,4981,1225,104,5444,2.0879
cassandra-reaper,0.86572694,0.03 ,0.245935,4981,1225,104,5444,2.0879
cassandra-reaper,0.874819065,0.04 ,0.245935,4981,1225,104,5444,2.0879
cassandra-reaper,0.888502636,0.05 ,0.245935,4981,1225,104,5444,2.0879
jmeter-maven-plugin,0.675920618,0.01 ,0.264614,2241,593,57,1297,2.5435
jmeter-maven-plugin,0.753945998,0.02 ,0.264614,2241,593,57,1297,2.5435
jmeter-maven-plugin,0.800761947,0.03 ,0.264614,2241,593,57,1297,2.5435
jmeter-maven-plugin,0.815208621,0.04 ,0.264614,2241,593,57,1297,2.5435
jmeter-maven-plugin,0.816122777,0.05 ,0.264614,2241,593,57,1297,2.5435
jPopulator,0.705117144,0.01 ,0.509338,1178,600,70,969,5.9423
jPopulator,0.757092574,0.02 ,0.509338,1178,600,70,969,5.9423
jPopulator,0.813188061,0.03 ,0.509338,1178,600,70,969,5.9423
jPopulator,0.839244761,0.04 ,0.509338,1178,600,70,969,5.9423
jPopulator,0.849781648,0.05 ,0.509338,1178,600,70,969,5.9423
geocluster-facet,0.685057303,0.01 ,0.488449,606,296,15,553,2.4752
geocluster-facet,0.724427705,0.02 ,0.488449,606,296,15,553,2.4752
geocluster-facet,0.784285676,0.03 ,0.488449,606,296,15,553,2.4752
geocluster-facet,0.826408309,0.04 ,0.488449,606,296,15,553,2.4752
geocluster-facet,0.847769925,0.05 ,0.488449,606,296,15,553,2.4752
wsc,0.783952228,0.01 ,0.094083,17931,1687,16,13016,0.0892
wsc,0.843254421,0.02 ,0.094083,17931,1687,16,13016,0.0892
wsc,0.883468677,0.03 ,0.094083,17931,1687,16,13016,0.0892
wsc,0.881085043,0.04 ,0.094083,17931,1687,16,13016,0.0892
wsc,0.907363375,0.05 ,0.094083,17931,1687,16,13016,0.0892
obd-java-api,0.649951946,0.01 ,0.434673,796,346,42,1111,5.2764
obd-java-api,0.700936001,0.02 ,0.434673,796,346,42,1111,5.2764
obd-java-api,0.76357201,0.03 ,0.434673,796,346,42,1111,5.2764
