name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
IClojure,0.86754267,1,0.13916501,503,70,13,962,2.584493042,16.339,-1.972094928,6.22059017,4.248495242,2.564949357,6.869014451,0.949529373,2.793554888,-7.185714286,-0.001988072,-0.014285714,-0.076923077,-0.001039501,-0.386923077,-0.061203256
raml-java-parser,0.453840704,1,0.584958217,2154,1260,30,8217,1.39275766,42.912,-0.536214858,7.675081858,7.138867,3.401197382,9.013960458,0.33128571,3.759151507,-1.70952381,-0.000464253,-0.000793651,-0.033333333,-0.000121699,-0.718,-0.023303505
jprotobuf,0.430888343,1,0.036386449,1594,58,11,3015,0.690087829,43.4185,-3.313558849,7.374001859,4.060443011,2.397895273,8.011355109,-0.370936401,3.770885618,-27.48275862,-0.000627353,-0.017241379,-0.090909091,-0.000331675,-1.449090909,-0.023031657
greplin-lucene-utils,0.804707802,1,0.153380424,991,152,15,3476,1.513622603,36.722,-1.874834013,6.898714534,5.023880521,2.708050201,8.153637486,0.414505853,3.603376031,-6.519736842,-0.001009082,-0.006578947,-0.066666667,-0.000287687,-0.660666667,-0.027231632
invokebinder,0.477582565,2,0.670870113,793,532,108,1623,13.61916772,31.3675,-0.399179732,6.675823222,6.276643489,4.682131227,7.392031568,2.611478191,3.445772325,-1.490601504,-0.001261034,-0.001879699,-0.009259259,-0.000616143,-0.073425926,-0.031880131
gdx-artemis,0.578799542,2,0.422695035,705,298,36,1951,5.106382979,30.129,-0.861104316,6.558197803,5.697093487,3.583518938,7.576097341,1.630491322,3.405488163,-2.365771812,-0.00141844,-0.003355705,-0.027777778,-0.000512558,-0.195833333,-0.033190614
nar-maven-plugin,0.805451061,2,0.097583257,12041,1175,466,23665,3.870110456,84.0235,-2.327049345,9.396072772,7.069023427,6.144185634,10.07175244,1.353283048,4.431096522,-10.24765957,-8.30E-05,-0.000851064,-0.002145923,-4.23E-05,-0.258390558,-0.011901432
clj-ds,0.677999517,2,0.141210375,8328,1176,34,15521,0.408261287,85.304,-1.957504482,9.02737861,7.069874128,3.526360525,9.649949225,-0.8958479,4.446221347,-7.081632653,-0.000120077,-0.00085034,-0.029411765,-6.44E-05,-2.449411765,-0.01172278
computoser,0.895098708,2,0.053639847,10179,546,13,11626,0.127713921,50.4005,-2.925463078,9.228082053,6.302618976,2.564949357,9.360999248,-2.05796251,3.920001096,-18.64285714,-9.82E-05,-0.001831502,-0.076923077,-8.60E-05,-7.83,-0.019841073
glacieruploader,0.93323874,2,0.192307692,312,60,23,987,7.371794872,16.6385,-1.648658626,5.743003188,4.094344562,3.135494216,6.894670039,1.997661214,2.811719287,-5.2,-0.003205128,-0.016666667,-0.043478261,-0.001013171,-0.135652174,-0.060101572
