name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
jprotobuf,0.691073487,1,0.036386449,1594,58,11,3015,0.690087829,43.4185,-3.313558849,7.374001859,4.060443011,2.397895273,8.011355109,-0.370936401,3.770885618,-27.48275862,-0.000627353,-0.017241379,-0.090909091,-0.000331675,-1.449090909,-0.023031657
greplin-lucene-utils,0.760788763,1,0.153380424,991,152,15,3476,1.513622603,36.722,-1.874834013,6.898714534,5.023880521,2.708050201,8.153637486,0.414505853,3.603376031,-6.519736842,-0.001009082,-0.006578947,-0.066666667,-0.000287687,-0.660666667,-0.027231632
invokebinder,0.897469253,2,0.670870113,793,532,108,1623,13.61916772,31.3675,-0.399179732,6.675823222,6.276643489,4.682131227,7.392031568,2.611478191,3.445772325,-1.490601504,-0.001261034,-0.001879699,-0.009259259,-0.000616143,-0.073425926,-0.031880131
gdx-artemis,0.823407261,2,0.422695035,705,298,36,1951,5.106382979,30.129,-0.861104316,6.558197803,5.697093487,3.583518938,7.576097341,1.630491322,3.405488163,-2.365771812,-0.00141844,-0.003355705,-0.027777778,-0.000512558,-0.195833333,-0.033190614
nar-maven-plugin,0.946096564,2,0.097583257,12041,1175,466,23665,3.870110456,84.0235,-2.327049345,9.396072772,7.069023427,6.144185634,10.07175244,1.353283048,4.431096522,-10.24765957,-8.30E-05,-0.000851064,-0.002145923,-4.23E-05,-0.258390558,-0.011901432
clj-ds,0.966042825,2,0.141210375,8328,1176,34,15521,0.408261287,85.304,-1.957504482,9.02737861,7.069874128,3.526360525,9.649949225,-0.8958479,4.446221347,-7.081632653,-0.000120077,-0.00085034,-0.029411765,-6.44E-05,-2.449411765,-0.01172278
computoser,0.930298859,2,0.053639847,10179,546,13,11626,0.127713921,50.4005,-2.925463078,9.228082053,6.302618976,2.564949357,9.360999248,-2.05796251,3.920001096,-18.64285714,-9.82E-05,-0.001831502,-0.076923077,-8.60E-05,-7.83,-0.019841073
glacieruploader,0.624046529,2,0.192307692,312,60,23,987,7.371794872,16.6385,-1.648658626,5.743003188,4.094344562,3.135494216,6.894670039,1.997661214,2.811719287,-5.2,-0.003205128,-0.016666667,-0.043478261,-0.001013171,-0.135652174,-0.060101572
gson-fire,0.733383185,2,0.692579505,283,196,37,895,13.07420495,16.645,-0.367332238,5.645446898,5.278114659,3.610917913,6.796823718,2.570641201,2.812109871,-1.443877551,-0.003533569,-0.005102041,-0.027027027,-0.001117318,-0.076486486,-0.060078102
java-uuid-generator,0.940653391,2,0.420144686,1797,755,46,1764,2.559821925,8.075,-0.867156138,7.493873887,6.626717749,3.828641396,7.475339237,0.939937696,2.088772869,-2.38013245,-0.000556483,-0.001324503,-0.02173913,-0.000566893,-0.390652174,-0.123839009
efflux,0.947614033,2,0.36755824,2318,852,42,3529,1.811906816,8.056,-1.000873497,7.748460024,6.747586527,3.737669618,8.168769824,0.59437978,2.086417155,-2.720657277,-0.000431406,-0.001173709,-0.023809524,-0.000283366,-0.551904762,-0.124131082
jitescript,0.542811602,2,0.089244851,437,39,7,1397,1.601830664,19.8415,-2.416371549,6.079933195,3.663561646,1.945910149,7.242082359,0.47114714,2.987775704,-11.20512821,-0.00228833,-0.025641026,-0.142857143,-0.00071582,-0.624285714,-0.050399415
patricia-trie,0.91507038,2,0.41221374,1441,594,18,2782,1.249132547,31.9215,-0.886213277,7.273092596,6.386879319,2.890371758,7.930925372,0.222449348,3.463279764,-2.425925926,-0.000693963,-0.001683502,-0.055555556,-0.000359454,-0.800555556,-0.031326849
greplin-bloom-filter,0.853049953,2,0.496522949,719,357,17,674,2.364394993,31.019,-0.700125576,6.577861358,5.877735782,2.833213344,6.513230111,0.860522172,3.43459992,-2.014005602,-0.001390821,-0.00280112,-0.058823529,-0.00148368,-0.422941176,-0.032238306
aho-corasick,0.839905306,2,0.759530792,341,259,32,499,9.384164223,51.753,-0.275054416,5.831882477,5.556828062,3.465735903,6.212606096,2.239023612,3.946482401,-1.316602317,-0.002932551,-0.003861004,-0.03125,-0.002004008,-0.1065625,-0.019322551
pusher-websocket-java,0.752895562,2,0.554054054,444,246,197,1634,44.36936937,53.992,-0.590493027,6.095824562,5.505331536,5.283203729,7.398786275,3.792549352,3.988835887,-1.804878049,-0.002252252,-0.004065041,-0.005076142,-0.000611995,-0.022538071,-0.018521262
