name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
glacieruploader,0.780559524,1,0.305825243,824,252,22,987,2.669902913,11.059,-1.184741442,6.71417053,5.529429088,3.091042453,6.894670039,0.982042109,2.403244576,-3.26984127,-0.001213592,-0.003968254,-0.045454545,-0.001013171,-0.374545455,-0.090424089
greplin-bloom-filter,0.8581875,1,0.578313253,830,480,16,674,1.927710843,7.441,-0.547639597,6.721425701,6.173786104,2.772588722,6.513230111,0.656333207,2.007005248,-1.729166667,-0.001204819,-0.002083333,-0.0625,-0.00148368,-0.51875,-0.134390539
greplin-lucene-utils,0.81802005,1,0.151653364,2631,399,14,3476,0.532117066,7.032,-1.886157864,7.875119281,5.988961417,2.63905733,8.153637486,-0.630891765,1.95047116,-6.593984962,-0.000380084,-0.002506266,-0.071428571,-0.000287687,-1.879285714,-0.142207053
gson-fire,0.845328846,1,0.688741722,755,520,36,895,4.768211921,22.406,-0.372888938,6.626717749,6.253828812,3.583518938,6.796823718,1.561971375,3.10932878,-1.451923077,-0.001324503,-0.001923077,-0.027777778,-0.001117318,-0.209722222,-0.044630902
hashids-java,0.875292899,1,0.631775701,535,338,11,258,2.056074766,4.008,-0.459220851,6.282266747,5.823045895,2.397895273,5.552959585,0.720798712,1.388292364,-1.582840237,-0.001869159,-0.00295858,-0.090909091,-0.003875969,-0.486363636,-0.249500998
HTTP-Proxy-Servlet,0.817647668,1,0.620578778,622,386,26,493,4.180064309,8.272,-0.477102723,6.432940093,5.955837369,3.258096538,6.200509174,1.430326631,2.112876318,-1.611398964,-0.001607717,-0.002590674,-0.038461538,-0.002028398,-0.239230769,-0.120889749
IClojure,0.576053191,1,0.085144928,1104,94,12,962,1.086956522,5.152,-2.463400445,7.006695227,4.543294782,2.48490665,6.869014451,0.083381609,1.639384989,-11.74468085,-0.000905797,-0.010638298,-0.083333333,-0.001039501,-0.92,-0.194099379
invokebinder,0.888728183,1,0.447789878,1561,699,107,1623,6.854580397,80.285,-0.803431178,7.353081921,6.549650742,4.672828834,7.392031568,1.9249171,4.385582804,-2.233190272,-0.000640615,-0.001430615,-0.009345794,-0.000616143,-0.14588785,-0.012455627
jackson-dataformat-csv,0.961453914,1,0.317733628,6795,2159,100,5242,1.471670346,85.295,-1.146541896,8.823942327,7.677400431,4.605170186,8.564458384,0.386398045,4.446115836,-3.147290412,-0.000147167,-0.000463177,-0.01,-0.000190767,-0.6795,-0.011724017
jackson-datatype-guava,0.89815858,1,0.516819572,1635,845,73,2217,4.464831804,51.724,-0.660061456,7.399398083,6.739336627,4.290459441,7.70391021,1.496231544,3.94592189,-1.934911243,-0.000611621,-0.001183432,-0.01369863,-0.00045106,-0.223972603,-0.019333385
jackson-datatype-joda,0.86268,1,0.556930693,1212,675,73,1543,6.02310231,50.278,-0.585314476,7.100027167,6.514712691,4.290459441,7.341483852,1.795602461,3.917567606,-1.795555556,-0.000825083,-0.001481481,-0.01369863,-0.000648088,-0.166027397,-0.019889415
jackson-module-afterburner,0.95885411,1,0.545913819,3365,1837,118,3343,3.506686478,82.227,-0.605294157,8.121183242,7.515889085,4.770684624,8.114623886,1.254671568,4.409483715,-1.831790964,-0.000297177,-0.000544366,-0.008474576,-0.000299133,-0.285169492,-0.012161455
JActor,0.585795455,1,0.095860566,1377,132,60,2413,4.357298475,15.444,-2.344860576,7.227662499,4.882801923,4.094344562,7.788626066,1.471852249,2.737220578,-10.43181818,-0.000726216,-0.007575758,-0.016666667,-0.000414422,-0.2295,-0.064750065
JAdventure,0.915928281,1,0.144958807,5098,739,35,3785,0.686543743,27.261,-1.931305664,8.536603585,6.605297921,3.555348061,8.238801166,-0.376085337,3.305457109,-6.898511502,-0.000196155,-0.00135318,-0.028571429,-0.000264201,-1.456571429,-0.03668244
java-jwt,0.809339833,1,0.787280702,456,359,54,422,11.84210526,29.543,-0.239170421,6.12249281,5.883322388,3.988984047,6.045005314,2.471661423,3.385846829,-1.270194986,-0.002192982,-0.002785515,-0.018518519,-0.002369668,-0.084444444,-0.033848966
javapoet,0.968848901,1,0.771390728,3775,2912,152,2454,4.026490066,129.262,-0.259560252,8.236155662,7.976595409,5.023880521,7.805474625,1.392895045,4.861841352,-1.29635989,-0.000264901,-0.000343407,-0.006578947,-0.000407498,-0.248355263,-0.007736226
java-uuid-generator,0.906794776,1,0.394310937,2039,804,45,1764,2.206964198,30.86,-0.930615501,7.620214771,6.689599269,3.80666249,7.475339237,0.791617905,3.429460847,-2.536069652,-0.000490436,-0.001243781,-0.022222222,-0.000566893,-0.453111111,-0.032404407
